;Model;MAE;MSE;RMSE;R2;RMSLE;MAPE;TT (Sec)
huber;Huber Regressor;440.7388;338337.4544;523.8797;-1.2177;0.1754;0.1539;0.426
en;Elastic Net;447.1564;352706.0859;523.9509;-1.0427;0.1761;0.1672;0.386
ada;AdaBoost Regressor;457.144;464581.2913;552.8912;-0.9159;0.1766;0.1672;0.478
br;Bayesian Ridge;458.4921;383442.4609;535.7004;-1.0435;0.1784;0.1713;0.376
rf;Random Forest Regressor;498.4619;489519.1114;591.9246;-1.7387;0.1944;0.1835;0.482
gbr;Gradient Boosting Regressor;530.8568;549071.9956;623.1538;-2.1215;0.2032;0.1936;0.5
knn;K Neighbors Regressor;654.5153;749070.9562;813.5178;-9.8795;0.248;0.2363;0.464
svm;Support Vector Regression;683.2006;1002990.8848;767.1459;-2.314;0.2448;0.2718;0.448
lr;Linear Regression;975.6245;3242020.9141;1138.984;-6.2187;0.2953;0.3615;0.37
